service_id,date,exception_type
0095UE546514501528629,20140123,2
0095UE546514501528629,20140130,2
0095UE546514501528629,20140203,2
0095UE546514501528629,20140210,2
0095UE546514501528629,20140213,2
0095UE546515101568118,20140127,2
0095UE546515101568118,20140206,2
0095UE546515501627809,20140113,2
0095UE546515501627809,20140116,2
0095UE546515501627809,20140120,2
0095UE546515501627809,20140123,2
0095UE546515501627809,20140130,2
0095UE546515501627809,20140203,2
0095UE546515501627809,20140210,2
0095UE546515501627809,20140213,2
0095UE546516501726989,20140113,2
0095UE546516501726989,20140116,2
0095UE546516501726989,20140120,2
0095UE546516501726989,20140123,2
0095UE546516501726989,20140130,2
0095UE546516501726989,20140203,2
0095UE546516501726989,20140210,2
0095UE546516501726989,20140213,2
0095UE546517101770786,20140127,2
0095UE546517101770786,20140206,2
0095UE546517401819537,20140127,2
0095UE546517401819537,20140206,2
0095UE546517501822770,20140113,2
0095UE546517501822770,20140116,2
0095UE546517501822770,20140120,2
0095UE546517501822770,20140123,2
0095UE546517501822770,20140130,2
0095UE546517501822770,20140203,2
0095UE546517501822770,20140210,2
0095UE546517501822770,20140213,2
0095UE546518101866200,20140127,2
0095UE546518101866200,20140206,2
0095UE546519101958602,20140127,2
0095UE546519101958602,20140206,2
0095UE546520102057782,20140127,2
0095UE546520102057782,20140206,2
0096UE55010600622621,20140127,2
0096UE55010600622621,20140206,2
0096UE55010630671353,20140127,2
0096UE55010630671353,20140206,2
0096UE55010700732819,20140127,2
0096UE55010700732819,20140206,2
0096UE55010730780319,20140127,2
0096UE55010730780319,20140206,2
0096UE55010745787875,20140113,2
0096UE55010745787875,20140116,2
0096UE55010745787875,20140120,2
0096UE55010745787875,20140123,2
0096UE55010745787875,20140130,2
0096UE55010745787875,20140203,2
0096UE55010745787875,20140210,2
0096UE55010745787875,20140213,2
0096UE55010800828199,20140127,2
0096UE55010800828199,20140206,2
0096UE55010830874000,20140127,2
0096UE55010830874000,20140206,2
0096UE55010845883635,20140113,2
0096UE55010845883635,20140116,2
0096UE55010845883635,20140120,2
0096UE55010845883635,20140123,2
0096UE55010845883635,20140130,2
0096UE55010845883635,20140203,2
0096UE55010845883635,20140210,2
0096UE55010845883635,20140213,2
0096UE55010900915057,20140127,2
0096UE55010900915057,20140206,2
0096UE55010930962937,20140127,2
0096UE55010930962937,20140206,2
0096UE55010945981673,20140113,2
0096UE55010945981673,20140116,2
0096UE55010945981673,20140120,2
0096UE55010945981673,20140123,2
0096UE55010945981673,20140130,2
0096UE55010945981673,20140203,2
0096UE55010945981673,20140210,2
0096UE55010945981673,20140213,2
0096UE550110001010817,20140127,2
0096UE550110001010817,20140206,2
0096UE550110301058697,20140127,2
0096UE550110301058697,20140206,2
0096UE550110451078607,20140113,2
0096UE550110451078607,20140116,2
0096UE550110451078607,20140120,2
0096UE550110451078607,20140123,2
0096UE550110451078607,20140130,2
0096UE550110451078607,20140203,2
0096UE550110451078607,20140210,2
0096UE550110451078607,20140213,2
0096UE550111001106577,20140127,2
0096UE550111001106577,20140206,2
0096UE550111301154457,20140127,2
0096UE550111301154457,20140206,2
0096UE550111451174367,20140113,2
0096UE550111451174367,20140116,2
0096UE550111451174367,20140120,2
0096UE550111451174367,20140123,2
0096UE550111451174367,20140130,2
0096UE550111451174367,20140203,2
0096UE550111451174367,20140210,2
0096UE550111451174367,20140213,2
0096UE550112001202337,20140127,2
0096UE550112001202337,20140206,2
0096UE550112301250217,20140127,2
0096UE550112301250217,20140206,2
0096UE550112451270127,20140113,2
0096UE550112451270127,20140116,2
0096UE550112451270127,20140120,2
0096UE550112451270127,20140123,2
0096UE550112451270127,20140130,2
0096UE550112451270127,20140203,2
0096UE550112451270127,20140210,2
0096UE550112451270127,20140213,2
0096UE550113001298097,20140127,2
0096UE550113001298097,20140206,2
0096UE550113301345977,20140127,2
0096UE550113301345977,20140206,2
0096UE550113451365887,20140113,2
0096UE550113451365887,20140116,2
0096UE550113451365887,20140120,2
0096UE550113451365887,20140123,2
0096UE550113451365887,20140130,2
0096UE550113451365887,20140203,2
0096UE550113451365887,20140210,2
0096UE550113451365887,20140213,2
0096UE550114001393857,20140127,2
0096UE550114001393857,20140206,2
0096UE550114301443055,20140127,2
0096UE550114301443055,20140206,2
0096UE550114451461647,20140113,2
0096UE550114451461647,20140116,2
0096UE550114451461647,20140120,2
0096UE550114451461647,20140123,2
0096UE550114451461647,20140130,2
0096UE550114451461647,20140203,2
0096UE550114451461647,20140210,2
0096UE550114451461647,20140213,2
0096UE550115001491501,20140127,2
0096UE550115001491501,20140206,2
0096UE550115301542695,20140127,2
0096UE550115301542695,20140206,2
0096UE550115451557407,20140113,2
0096UE550115451557407,20140116,2
0096UE550115451557407,20140120,2
0096UE550115451557407,20140123,2
0096UE550115451557407,20140130,2
0096UE550115451557407,20140203,2
0096UE550115451557407,20140210,2
0096UE550115451557407,20140213,2
0096UE550116001590825,20140127,2
0096UE550116001590825,20140206,2
0096UE550116301638705,20140127,2
0096UE550116301638705,20140206,2
0096UE550116451653167,20140113,2
0096UE550116451653167,20140116,2
0096UE550116451653167,20140120,2
0096UE550116451653167,20140123,2
0096UE550116451653167,20140130,2
0096UE550116451653167,20140203,2
0096UE550116451653167,20140210,2
0096UE550116451653167,20140213,2
0096UE550117001686585,20140127,2
0096UE550117001686585,20140206,2
0096UE550117301731150,20140127,2
0096UE550117301731150,20140206,2
0096UE550117451745475,20140113,2
0096UE550117451745475,20140116,2
0096UE550117451745475,20140120,2
0096UE550117451745475,20140123,2
0096UE550117451745475,20140130,2
0096UE550117451745475,20140203,2
0096UE550117451745475,20140210,2
